Date;Open;High;Low;Close;Volume;Adj Close;lnret
11/03/04;21673;21750;20756;20763;0;20763;-0,042756259
12/03/04;20770;21800;20770;21776;0;21776;0,047635889
15/03/04;21776;21836;21162;21234;0;21234;-0,025204775
16/03/04;21234;21647;21234;21613;0;21613;0,017691315
17/03/04;21620;22034;21620;21901;0;21901;0,013237312
18/03/04;21901;22411;21679;22370;0;22370;0,021188478
19/03/04;22370;22470;22217;22261;0;22261;-0,004884507
22/03/04;22248;22248;21569;21663;0;21663;-0,027230532
23/03/04;21663;21832;21205;21205;0;21205;-0,021368733
24/03/04;21202;21317;20834;20985;0;20985;-0,010429106
25/03/04;20985;21323;20857;21000;0;21000;0,000714541
26/03/04;21001;21651;21001;21541;0;21541;0,025435658
29/03/04;21544;21817;21435;21531;0;21531;-0,000464339
30/03/04;21531;22045;21531;22043;0;22043;0,023501334
31/03/04;22042;22256;21873;22142;0;22142;0,004481166
1/04/04;22142;22769;22142;22647;0;22647;0,022551135
2/04/04;22650;23034;22629;22949;0;22949;0,01324697
5/04/04;22949;23260;22773;23146;0;23146;0,008547617
6/04/04;23146;23179;22859;23072;0;23072;-0,003202218
7/04/04;23061;23061;22443;22443;0;22443;-0,027641
8/04/04;22451;22740;22307;22725;0;22725;0,012486879
12/04/04;22725;22970;22496;22780;0;22780;0,002417318
13/04/04;22777;22995;22555;22620;0;22620;-0,007048487
14/04/04;22618;22618;22165;22312;0;22312;-0,01370982
15/04/04;22312;22312;21483;21739;0;21739;-0,026016768
16/04/04;21727;21938;21592;21769;0;21769;0,001379057
19/04/04;21773;21864;21417;21627;0;21627;-0,006544405
20/04/04;21627;21665;21068;21078;0;21078;-0,025712692
22/04/04;21078;21182;20732;21142;0;21142;0,003031741
23/04/04;21142;21625;21142;21590;0;21590;0,020968661
26/04/04;21588;21778;21286;21324;0;21324;-0,012397046
27/04/04;21324;21715;21254;21317;0;21317;-0,000328323
28/04/04;21317;21374;20474;20474;0;20474;-0,040349088
29/04/04;20481;20756;19676;19865;0;19865;-0,030196399
30/04/04;19871;20172;19508;19607;0;19607;-0,013072744
3/05/04;19622;19777;19086;19709;0;19709;0,005188739
4/05/04;19709;20195;19709;19988;0;19988;0,014056709
5/05/04;20013;20342;19835;20026;0;20026;0,001899336
6/05/04;20019;20019;19189;19190;0;19190;-0,042642119
7/05/04;19184;19184;18573;18620;0;18620;-0,030153038
10/05/04;18616;18616;17601;17604;0;17604;-0,056110123
11/05/04;17607;18583;17607;18537;0;18537;0,051642586
12/05/04;18543;18745;17885;18326;0;18326;-0,011447918
13/05/04;18326;18619;17902;18402;0;18402;0,004138538
14/05/04;18421;18952;18421;18611;0;18611;0,011293449
17/05/04;18609;18609;17973;18122;0;18122;-0,026626134
18/05/04;18125;18610;18125;18556;0;18556;0,023666517
19/05/04;18602;19120;18602;18688;0;18688;0,00708842
20/05/04;18688;18688;18229;18240;0;18240;-0,024264622
21/05/04;18239;18387;18041;18285;0;18285;0,002464067
24/05/04;18288;18670;18288;18669;0;18669;0,020783343
25/05/04;18675;18869;18590;18860;0;18860;0,010178883
26/05/04;18860;19079;18737;19069;0;19069;0,011020703
27/05/04;19069;19763;19061;19734;0;19734;0,034279057
28/05/04;19734;19991;19580;19667;0;19667;-0,003400932
31/05/04;19672;19769;19421;19545;0;19545;-0,006222605
1/06/04;19545;19613;19177;19546;0;19546;5,12E+05
2/06/04;19553;19923;19553;19717;0;19717;0,008710546
3/06/04;19723;19776;19332;19400;0;19400;-0,016208142
4/06/04;19404;19902;19404;19819;0;19819;0,021368007
7/06/04;19826;20487;19826;20447;0;20447;0,031195099
8/06/04;20447;20529;20159;20284;0;20284;-0,008003775
9/06/04;20269;20298;19797;19865;0;19865;-0,020873009
11/06/04;19865;19979;19789;19834;0;19834;-0,001561753
14/06/04;19833;19833;19371;19488;0;19488;-0,017598745
15/06/04;19496;20047;19496;20047;0;20047;0,028280625
16/06/04;20050;20514;20006;20460;0;20460;0,020392244
17/06/04;20460;20697;20203;20335;0;20335;-0,006128221
18/06/04;20330;20455;20076;20333;0;20333;-9,84E+05
21/06/04;20336;20654;20274;20293;0;20293;-0,001969183
22/06/04;20293;20360;20070;20199;0;20199;-0,004642901
23/06/04;20199;20836;20199;20836;0;20836;0,031049162
24/06/04;20837;21068;20681;20708;0;20708;-0,006162161
25/06/04;20708;20940;20669;20750;0;20750;0,002026148
28/06/04;20750;20892;20351;20351;0;20351;-0,019416196
29/06/04;20352;20833;20352;20801;0;20801;0,021871012
30/06/04;20809;21183;20733;21149;0;21149;0,016591561
1/07/04;21152;21394;21094;21349;0;21349;0,009412277
2/07/04;21349;21747;21349;21568;0;21568;0,010205835
5/07/04;21565;21775;21429;21670;0;21670;0,004718081
7/07/04;21190;21364;21118;21171;0;21171;-0,023296495
8/07/04;21167;21167;20821;20887;0;20887;-0,013505365
12/07/04;20885;21561;20885;21532;0;21532;0,030413245
13/07/04;21533;21759;21456;21677;0;21677;0,00671159
14/07/04;21676;22090;21373;21673;0;21673;-0,000184544
15/07/04;21679;22198;21679;22065;0;22065;0,017925397
16/07/04;22064;22676;22064;22447;0;22447;0,017164332
19/07/04;22445;22518;22045;22102;0;22102;-0,015488873
20/07/04;22115;22426;22046;22361;0;22361;0,011650268
21/07/04;22362;22516;21776;21810;0;21810;-0,02494979
22/07/04;21821;21938;21490;21730;0;21730;-0,003674786
23/07/04;21729;22100;21559;21591;0;21591;-0,006417233
26/07/04;21635;21930;21056;21318;0;21318;-0,012724775
27/07/04;21325;21813;21236;21737;0;21737;0,019464091
28/07/04;21740;22213;21613;22168;0;22168;0,01963393
29/07/04;22169;22366;22019;22228;0;22228;0,002702948
30/07/04;22224;22534;22111;22337;0;22337;0,004891741
2/08/04;22342;22493;21929;22448;0;22448;0,004957027
3/08/04;22453;22600;22340;22373;0;22373;-0,003346649
4/08/04;22370;22523;22159;22178;0;22178;-0,008754068
5/08/04;22174;22244;21178;21330;0;21330;-0,038986274
6/08/04;21341;21702;21194;21653;0;21653;0,01502948
9/08/04;21653;21745;21243;21261;0;21261;-0,018269604
10/08/04;21261;21737;21261;21737;0;21737;0,022141469
11/08/04;21736;21736;21411;21570;0;21570;-0,007712417
12/08/04;21574;21723;21484;21570;0;21570;0
13/08/04;21570;21706;21307;21401;0;21401;-0,00786581
16/08/04;21404;21829;21361;21764;0;21764;0,016819579
17/08/04;21767;22159;21767;22061;0;22061;0,013554115
18/08/04;22059;22779;21898;22779;0;22779;0,032027715
19/08/04;22779;23285;22772;22935;0;22935;0,006825069
20/08/04;22935;23381;22919;23196;0;23196;0,011315722
23/08/04;23205;23241;22773;22852;0;22852;-0,014941209
24/08/04;22863;23111;22743;22870;0;22870;0,000787367
25/08/04;22870;23166;22745;23058;0;23058;0,008186773
26/08/04;23047;23047;22479;22582;0;22582;-0,020859652
27/08/04;22583;22801;22504;22597;0;22597;0,000664025
30/08/04;22600;22869;22316;22869;0;22869;0,011965128
31/08/04;22886;23071;22685;22803;0;22803;-0,002890175
1/09/04;22803;22971;22363;22513;0;22513;-0,012799186
2/09/04;22516;22768;22267;22688;0;22688;0,00774323
3/09/04;22688;22769;22378;22415;0;22415;-0,012105773
6/09/04;22416;22537;22416;22502;0;22502;0,003873817
8/09/04;22508;22977;22508;22534;0;22534;0,001421086
9/09/04;22536;22622;22071;22286;0;22286;-0,011066601
10/09/04;22276;22299;21846;21968;0;21968;-0,01437183
13/09/04;21970;22226;21739;21809;0;21809;-0,00726412
14/09/04;21810;22348;21741;22309;0;22309;0,022667456
15/09/04;22310;22577;22213;22344;0;22344;0,001567644
16/09/04;22346;22897;22346;22876;0;22876;0,023530497
17/09/04;22876;23190;22876;23074;0;23074;0,008618116
20/09/04;23079;23485;23078;23078;0;23078;0,00017334
21/09/04;23078;23268;22916;23106;0;23106;0,001212541
22/09/04;23106;23207;22697;22749;0;22749;-0,015571136
23/09/04;22749;23006;22749;22944;0;22944;0,008535276
24/09/04;22944;23110;22892;22972;0;22972;0,001219619
27/09/04;22981;22981;22733;22834;0;22834;-0,00602543
28/09/04;22834;23275;22593;23231;0;23231;0,01723694
29/09/04;23230;23287;23069;23208;0;23208;-0,000990547
30/09/04;23210;23423;23183;23245;0;23245;0,001593008
1/10/04;23246;23777;23246;23777;0;23777;0,022628672
4/10/04;23784;24173;23784;24150;0;24150;0,015565653
5/10/04;24150;24362;23946;24205;0;24205;0,002274843
6/10/04;24205;24205;23899;24027;0;24027;-0,007381025
7/10/04;24014;24141;23814;24104;0;24104;0,003199604
8/10/04;24120;24346;23914;23927;0;23927;-0,007370273
11/10/04;23928;24091;23921;23954;0;23954;0,001127796
13/10/04;23953;24066;23068;23289;0;23289;-0,028154178
14/10/04;23287;23287;22865;22959;0;22959;-0,01427113
15/10/04;22961;23422;22961;23368;0;23368;0,017657549
18/10/04;23368;23448;23021;23411;0;23411;0,001838432
19/10/04;23411;23621;22887;22893;0;22893;-0,02237481
20/10/04;22893;22929;22565;22873;0;22873;-0,000874011
21/10/04;22873;23116;22779;23059;0;23059;0,008098973
22/10/04;23061;23326;22692;22735;0;22735;-0,014150561
25/10/04;22735;22735;22390;22603;0;22603;-0,005822946
26/10/04;22603;22849;22557;22849;0;22849;0,010824712
27/10/04;22861;23228;22783;23171;0;23171;0,013994144
28/10/04;23171;23171;22826;22929;0;22929;-0,010499012
29/10/04;22945;23089;22877;23052;0;23052;0,005350049
1/11/04;23050;23309;22941;23273;0;23273;0,009541357
3/11/04;23275;23770;23275;23660;0;23660;0,016491968
4/11/04;23660;23963;23629;23880;0;23880;0,00925543
5/11/04;23864;24000;23499;23542;0;23542;-0,014255229
8/11/04;23542;23542;23072;23212;0;23212;-0,014116674
9/11/04;23213;23305;23022;23216;0;23216;0,00017231
10/11/04;23223;23479;23223;23455;0;23455;0,010241996
11/11/04;23457;23521;23192;23521;0;23521;0,002809947
12/11/04;23524;24035;23524;24035;0;24035;0,021617462
16/11/04;24035;24035;23698;23772;0;23772;-0,011002684
17/11/04;23772;24289;23772;24170;0;24170;0,016603777
18/11/04;24167;24325;23845;24143;0;24143;-0,001117712
19/11/04;24147;24361;23848;24034;0;24034;-0,004524989
